Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
60,20,20,200,CL,1.25
60,20,20,200,EL,2.84
60,20,20,200,IL,2.04
60,20,20,225,CL,1.24
60,20,20,225,EL,2.76
60,20,20,225,IL,1.98
60,20,20,250,CL,1.24
60,20,20,250,EL,2.69
60,20,20,250,IL,1.92
60,20,20,275,CL,1.23
60,20,20,275,EL,2.62
60,20,20,275,IL,1.88
60,20,20,300,CL,1.23
60,20,20,300,EL,2.56
60,20,20,300,IL,1.83
60,20,22.5,200,CL,1.35
60,20,22.5,200,EL,3.07
60,20,22.5,200,IL,2.24
60,20,22.5,225,CL,1.34
60,20,22.5,225,EL,2.98
60,20,22.5,225,IL,2.17
60,20,22.5,250,CL,1.33
60,20,22.5,250,EL,2.89
60,20,22.5,250,IL,2.11
60,20,22.5,275,CL,1.32
60,20,22.5,275,EL,2.82
60,20,22.5,275,IL,2.05
60,20,22.5,300,CL,1.32
60,20,22.5,300,EL,2.75
60,20,22.5,300,IL,2
60,20,25,200,CL,1.43
60,20,25,200,EL,3.25
60,20,25,200,IL,2.42
60,20,25,225,CL,1.42
60,20,25,225,EL,3.15
60,20,25,225,IL,2.34
60,20,25,250,CL,1.41
60,20,25,250,EL,3.06
60,20,25,250,IL,2.28
60,20,25,275,CL,1.4
60,20,25,275,EL,2.98
60,20,25,275,IL,2.21
60,20,25,300,CL,1.39
60,20,25,300,EL,2.91
60,20,25,300,IL,2.16
60,20,27.5,200,CL,1.53
60,20,27.5,200,EL,3.42
60,20,27.5,200,IL,2.58
60,20,27.5,225,CL,1.51
60,20,27.5,225,EL,3.32
60,20,27.5,225,IL,2.5
60,20,27.5,250,CL,1.5
60,20,27.5,250,EL,3.22
60,20,27.5,250,IL,2.42
60,20,27.5,275,CL,1.49
60,20,27.5,275,EL,3.13
60,20,27.5,275,IL,2.36
60,20,27.5,300,CL,1.48
60,20,27.5,300,EL,3.05
60,20,27.5,300,IL,2.3
60,20,30,200,CL,1.62
60,20,30,200,EL,3.58
60,20,30,200,IL,2.76
60,20,30,225,CL,1.61
60,20,30,225,EL,3.47
60,20,30,225,IL,2.67
60,20,30,250,CL,1.59
60,20,30,250,EL,3.36
60,20,30,250,IL,2.59
60,20,30,275,CL,1.58
60,20,30,275,EL,3.27
60,20,30,275,IL,2.52
60,20,30,300,CL,1.57
60,20,30,300,EL,3.18
60,20,30,300,IL,2.45
60,25,20,200,CL,1.02
60,25,20,200,EL,2.4
60,25,20,200,IL,1.72
60,25,20,225,CL,1.01
60,25,20,225,EL,2.33
60,25,20,225,IL,1.68
60,25,20,250,CL,1
60,25,20,250,EL,2.27
60,25,20,250,IL,1.63
60,25,20,275,CL,1
60,25,20,275,EL,2.22
60,25,20,275,IL,1.59
60,25,20,300,CL,0.99
60,25,20,300,EL,2.17
60,25,20,300,IL,1.56
60,25,22.5,200,CL,1.09
60,25,22.5,200,EL,2.59
60,25,22.5,200,IL,1.89
60,25,22.5,225,CL,1.08
60,25,22.5,225,EL,2.52
60,25,22.5,225,IL,1.84
60,25,22.5,250,CL,1.08
60,25,22.5,250,EL,2.46
60,25,22.5,250,IL,1.79
60,25,22.5,275,CL,1.07
60,25,22.5,275,EL,2.4
60,25,22.5,275,IL,1.74
60,25,22.5,300,CL,1.07
60,25,22.5,300,EL,2.34
60,25,22.5,300,IL,1.7
60,25,25,200,CL,1.16
60,25,25,200,EL,2.75
60,25,25,200,IL,2.05
60,25,25,225,CL,1.15
60,25,25,225,EL,2.67
60,25,25,225,IL,1.99
60,25,25,250,CL,1.14
60,25,25,250,EL,2.6
60,25,25,250,IL,1.94
60,25,25,275,CL,1.14
60,25,25,275,EL,2.54
60,25,25,275,IL,1.89
60,25,25,300,CL,1.13
60,25,25,300,EL,2.48
60,25,25,300,IL,1.84
60,25,27.5,200,CL,1.24
60,25,27.5,200,EL,2.9
60,25,27.5,200,IL,2.19
60,25,27.5,225,CL,1.23
60,25,27.5,225,EL,2.82
60,25,27.5,225,IL,2.12
60,25,27.5,250,CL,1.22
60,25,27.5,250,EL,2.74
60,25,27.5,250,IL,2.07
60,25,27.5,275,CL,1.21
60,25,27.5,275,EL,2.67
60,25,27.5,275,IL,2.01
60,25,27.5,300,CL,1.21
60,25,27.5,300,EL,2.61
60,25,27.5,300,IL,1.96
60,25,30,200,CL,1.32
60,25,30,200,EL,3.04
60,25,30,200,IL,2.35
60,25,30,225,CL,1.31
60,25,30,225,EL,2.95
60,25,30,225,IL,2.28
60,25,30,250,CL,1.3
60,25,30,250,EL,2.87
60,25,30,250,IL,2.21
60,25,30,275,CL,1.29
60,25,30,275,EL,2.79
60,25,30,275,IL,2.15
60,25,30,300,CL,1.28
60,25,30,300,EL,2.72
60,25,30,300,IL,2.1
60,30,20,200,CL,0.86
60,30,20,200,EL,2.08
60,30,20,200,IL,1.5
60,30,20,225,CL,0.85
60,30,20,225,EL,2.03
60,30,20,225,IL,1.46
60,30,20,250,CL,0.84
60,30,20,250,EL,1.98
60,30,20,250,IL,1.42
60,30,20,275,CL,0.84
60,30,20,275,EL,1.94
60,30,20,275,IL,1.39
60,30,20,300,CL,0.84
60,30,20,300,EL,1.9
60,30,20,300,IL,1.36
60,30,22.5,200,CL,0.92
60,30,22.5,200,EL,2.25
60,30,22.5,200,IL,1.64
60,30,22.5,225,CL,0.91
60,30,22.5,225,EL,2.19
60,30,22.5,225,IL,1.6
60,30,22.5,250,CL,0.91
60,30,22.5,250,EL,2.14
60,30,22.5,250,IL,1.56
60,30,22.5,275,CL,0.9
60,30,22.5,275,EL,2.09
60,30,22.5,275,IL,1.52
60,30,22.5,300,CL,0.9
60,30,22.5,300,EL,2.05
60,30,22.5,300,IL,1.49
60,30,25,200,CL,0.98
60,30,25,200,EL,2.39
60,30,25,200,IL,1.78
60,30,25,225,CL,0.97
60,30,25,225,EL,2.33
60,30,25,225,IL,1.74
60,30,25,250,CL,0.97
60,30,25,250,EL,2.27
60,30,25,250,IL,1.69
60,30,25,275,CL,0.96
60,30,25,275,EL,2.22
60,30,25,275,IL,1.65
60,30,25,300,CL,0.95
60,30,25,300,EL,2.17
60,30,25,300,IL,1.61
60,30,27.5,200,CL,1.05
60,30,27.5,200,EL,2.52
60,30,27.5,200,IL,1.91
60,30,27.5,225,CL,1.04
60,30,27.5,225,EL,2.45
60,30,27.5,225,IL,1.85
60,30,27.5,250,CL,1.03
60,30,27.5,250,EL,2.39
60,30,27.5,250,IL,1.81
60,30,27.5,275,CL,1.02
60,30,27.5,275,EL,2.34
60,30,27.5,275,IL,1.76
60,30,27.5,300,CL,1.02
60,30,27.5,300,EL,2.28
60,30,27.5,300,IL,1.72
60,30,30,200,CL,1.12
60,30,30,200,EL,2.65
60,30,30,200,IL,2.05
60,30,30,225,CL,1.11
60,30,30,225,EL,2.57
60,30,30,225,IL,1.99
60,30,30,250,CL,1.1
60,30,30,250,EL,2.51
60,30,30,250,IL,1.94
60,30,30,275,CL,1.09
60,30,30,275,EL,2.45
60,30,30,275,IL,1.89
60,30,30,300,CL,1.08
60,30,30,300,EL,2.39
60,30,30,300,IL,1.84
60,35,20,200,CL,0.74
60,35,20,200,EL,1.84
60,35,20,200,IL,1.32
60,35,20,225,CL,0.74
60,35,20,225,EL,1.8
60,35,20,225,IL,1.29
60,35,20,250,CL,0.73
60,35,20,250,EL,1.76
60,35,20,250,IL,1.26
60,35,20,275,CL,0.73
60,35,20,275,EL,1.72
60,35,20,275,IL,1.24
60,35,20,300,CL,0.72
60,35,20,300,EL,1.69
60,35,20,300,IL,1.21
60,35,22.5,200,CL,0.8
60,35,22.5,200,EL,1.99
60,35,22.5,200,IL,1.46
60,35,22.5,225,CL,0.79
60,35,22.5,225,EL,1.94
60,35,22.5,225,IL,1.42
60,35,22.5,250,CL,0.79
60,35,22.5,250,EL,1.9
60,35,22.5,250,IL,1.39
60,35,22.5,275,CL,0.78
60,35,22.5,275,EL,1.86
60,35,22.5,275,IL,1.36
60,35,22.5,300,CL,0.78
60,35,22.5,300,EL,1.82
60,35,22.5,300,IL,1.33
60,35,25,200,CL,0.85
60,35,25,200,EL,2.12
60,35,25,200,IL,1.58
60,35,25,225,CL,0.84
60,35,25,225,EL,2.07
60,35,25,225,IL,1.54
60,35,25,250,CL,0.84
60,35,25,250,EL,2.02
60,35,25,250,IL,1.5
60,35,25,275,CL,0.83
60,35,25,275,EL,1.97
60,35,25,275,IL,1.47
60,35,25,300,CL,0.83
60,35,25,300,EL,1.93
60,35,25,300,IL,1.44
60,35,27.5,200,CL,0.91
60,35,27.5,200,EL,2.23
60,35,27.5,200,IL,1.69
60,35,27.5,225,CL,0.9
60,35,27.5,225,EL,2.18
60,35,27.5,225,IL,1.65
60,35,27.5,250,CL,0.89
60,35,27.5,250,EL,2.13
60,35,27.5,250,IL,1.61
60,35,27.5,275,CL,0.89
60,35,27.5,275,EL,2.08
60,35,27.5,275,IL,1.57
60,35,27.5,300,CL,0.88
60,35,27.5,300,EL,2.04
60,35,27.5,300,IL,1.54
60,35,30,200,CL,0.97
60,35,30,200,EL,2.35
60,35,30,200,IL,1.82
60,35,30,225,CL,0.96
60,35,30,225,EL,2.29
60,35,30,225,IL,1.77
60,35,30,250,CL,0.95
60,35,30,250,EL,2.23
60,35,30,250,IL,1.72
60,35,30,275,CL,0.95
60,35,30,275,EL,2.18
60,35,30,275,IL,1.68
60,35,30,300,CL,0.94
60,35,30,300,EL,2.13
60,35,30,300,IL,1.65
75,20,20,200,CL,0.83
75,20,20,200,EL,2.09
75,20,20,200,IL,1.51
75,20,20,225,CL,0.83
75,20,20,225,EL,2.05
75,20,20,225,IL,1.48
75,20,20,250,CL,0.82
75,20,20,250,EL,2
75,20,20,250,IL,1.45
75,20,20,275,CL,0.81
