Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
60.0,20.0,20.0,200.0,CL,1.25
60.0,20.0,20.0,200.0,EL,2.84
60.0,20.0,20.0,200.0,IL,2.04
60.0,20.0,20.0,225.0,CL,1.24
60.0,20.0,20.0,225.0,EL,2.76
60.0,20.0,20.0,225.0,IL,1.98
60.0,20.0,20.0,250.0,CL,1.24
60.0,20.0,20.0,250.0,EL,2.69
60.0,20.0,20.0,250.0,IL,1.92
60.0,20.0,20.0,275.0,CL,1.23
60.0,20.0,20.0,275.0,EL,2.62
60.0,20.0,20.0,275.0,IL,1.88
60.0,20.0,20.0,300.0,CL,1.23
60.0,20.0,20.0,300.0,EL,2.56
60.0,20.0,20.0,300.0,IL,1.83
60.0,20.0,22.5,200.0,CL,1.35
60.0,20.0,22.5,200.0,EL,3.07
60.0,20.0,22.5,200.0,IL,2.24
60.0,20.0,22.5,225.0,CL,1.34
60.0,20.0,22.5,225.0,EL,2.98
60.0,20.0,22.5,225.0,IL,2.17
60.0,20.0,22.5,250.0,CL,1.33
60.0,20.0,22.5,250.0,EL,2.89
60.0,20.0,22.5,250.0,IL,2.11
60.0,20.0,22.5,275.0,CL,1.32
60.0,20.0,22.5,275.0,EL,2.82
60.0,20.0,22.5,275.0,IL,2.05
60.0,20.0,22.5,300.0,CL,1.32
60.0,20.0,22.5,300.0,EL,2.75
60.0,20.0,22.5,300.0,IL,2.0
60.0,20.0,25.0,200.0,CL,1.43
60.0,20.0,25.0,200.0,EL,3.25
60.0,20.0,25.0,200.0,IL,2.42
60.0,20.0,25.0,225.0,CL,1.42
60.0,20.0,25.0,225.0,EL,3.15
60.0,20.0,25.0,225.0,IL,2.34
60.0,20.0,25.0,250.0,CL,1.41
60.0,20.0,25.0,250.0,EL,3.06
60.0,20.0,25.0,250.0,IL,2.28
60.0,20.0,25.0,275.0,CL,1.4
60.0,20.0,25.0,275.0,EL,2.98
