Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P20_E20_S200_PosCL_H125,20,20,200,CL,0.865058,1.03821,16,2.8,0.31
P20_E20_S200_PosEL_H125,20,20,200,EL,2.46211,0.598656,16,2.8,0.88
P20_E20_S200_PosIL_H125,20,20,200,IL,1.79147,0.423504,16,2.8,0.64
P20_E20_S225_PosCL_H125,20,20,225,CL,0.860481,1.02412,16,2.8,0.31
P20_E20_S225_PosEL_H125,20,20,225,EL,2.4431,0.597669,16,2.8,0.87
P20_E20_S225_PosIL_H125,20,20,225,IL,1.77709,0.423019,16,2.8,0.63
P20_E20_S250_PosCL_H125,20,20,250,CL,0.85612,1.01077,16,2.8,0.31
P20_E20_S250_PosEL_H125,20,20,250,EL,2.42456,0.596702,16,2.8,0.87
P20_E20_S250_PosIL_H125,20,20,250,IL,1.76305,0.422544,16,2.8,0.63
P20_E20_S275_PosCL_H125,20,20,275,CL,0.85196,0.998109,16,2.8,0.30
P20_E20_S275_PosEL_H125,20,20,275,EL,2.40646,0.595754,16,2.8,0.86
P20_E20_S275_PosIL_H125,20,20,275,IL,1.74935,0.422077,16,2.8,0.62
P20_E20_S300_PosCL_H125,20,20,300,CL,0.847988,0.986073,16,2.8,0.30
P20_E20_S300_PosEL_H125,20,20,300,EL,2.3888,0.594825,16,2.8,0.85
P20_E20_S300_PosIL_H125,20,20,300,IL,1.73596,0.42162,16,2.8,0.62
P22.5_E20_S200_PosCL_H125,20,22.5,200,CL,0.94511,1.04899,20.25,3.15,0.30
P22.5_E20_S200_PosEL_H125,20,22.5,200,EL,2.69316,0.622388,20.25,3.15,0.85
P22.5_E20_S200_PosIL_H125,20,22.5,200,IL,1.9924,0.442696,20.25,3.15,0.63
P22.5_E20_S225_PosCL_H125,20,22.5,225,CL,0.940078,1.03393,20.25,3.15,0.30
P22.5_E20_S225_PosEL_H125,20,22.5,225,EL,2.67201,0.620828,20.25,3.15,0.85
P22.5_E20_S225_PosIL_H125,20,22.5,225,IL,1.97608,0.442137,20.25,3.15,0.63
P22.5_E20_S250_PosCL_H125,20,22.5,250,CL,0.935271,1.01966,20.25,3.15,0.30
P22.5_E20_S250_PosEL_H125,20,22.5,250,EL,2.65138,0.619299,20.25,3.15,0.84
P22.5_E20_S250_PosIL_H125,20,22.5,250,IL,1.96016,0.441589,20.25,3.15,0.62
P22.5_E20_S275_PosCL_H125,20,22.5,275,CL,0.930675,1.00612,20.25,3.15,0.30
P22.5_E20_S275_PosEL_H125,20,22.5,275,EL,2.63124,0.6178,20.25,3.15,0.84
P22.5_E20_S275_PosIL_H125,20,22.5,275,IL,1.94461,0.441051,20.25,3.15,0.62
P22.5_E20_S300_PosCL_H125,20,22.5,300,CL,0.926277,0.993257,20.25,3.15,0.29
P22.5_E20_S300_PosEL_H125,20,22.5,300,EL,2.61158,0.616605,20.25,3.15,0.83
P22.5_E20_S300_PosIL_H125,20,22.5,300,IL,1.92943,0.440524,20.25,3.15,0.61
P25_E20_S200_PosCL_H125,20,25,200,CL,1.01378,1.14365,25,3.5,0.29
P25_E20_S200_PosEL_H125,20,25,200,EL,2.8748,0.655887,25,3.5,0.82
P25_E20_S200_PosIL_H125,20,25,200,IL,2.17683,0.439265,25,3.5,0.62
P25_E20_S225_PosCL_H125,20,25,225,CL,1.00809,1.12757,25,3.5,0.29
P25_E20_S225_PosEL_H125,20,25,225,EL,2.85169,0.654117,25,3.5,0.81
P25_E20_S225_PosIL_H125,20,25,225,IL,2.15887,0.438803,25,3.5,0.62
P25_E20_S250_PosCL_H125,20,25,250,CL,1.00266,1.11234,25,3.5,0.29
P25_E20_S250_PosEL_H125,20,25,250,EL,2.82913,0.652381,25,3.5,0.81
P25_E20_S250_PosIL_H125,20,25,250,IL,2.14135,0.438351,25,3.5,0.61
