,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
0,P20_E20_S200_PosCL_H60,20,20,200,CL,3.50758,2.11182,16,2.8,1.25
1,P20_E20_S200_PosEL_H60,20,20,200,EL,7.96104,1.36243,16,2.8,2.84
2,P20_E20_S200_PosIL_H60,20,20,200,IL,5.71214,0.631041,16,2.8,2.04
3,P20_E20_S225_PosCL_H60,20,20,225,CL,3.48463,2.04183,16,2.8,1.24
4,P20_E20_S225_PosEL_H60,20,20,225,EL,7.72925,1.34536,16,2.8,2.76
5,P20_E20_S225_PosIL_H60,20,20,225,IL,5.54194,0.625832,16,2.8,1.98
6,P20_E20_S250_PosCL_H60,20,20,250,CL,3.46497,1.98059,16,2.8,1.24
7,P20_E20_S250_PosEL_H60,20,20,250,EL,7.52009,1.33277,16,2.8,2.69
8,P20_E20_S250_PosIL_H60,20,20,250,IL,5.38919,0.621051,16,2.8,1.92
9,P20_E20_S275_PosCL_H60,20,20,275,CL,3.44783,1.92639,16,2.8,1.23
10,P20_E20_S275_PosEL_H60,20,20,275,EL,7.33014,1.32107,16,2.8,2.62
11,P20_E20_S275_PosIL_H60,20,20,275,IL,5.25117,0.616639,16,2.8,1.88
12,P20_E20_S300_PosCL_H60,20,20,300,CL,3.43267,1.87795,16,2.8,1.23
13,P20_E20_S300_PosEL_H60,20,20,300,EL,7.15666,1.31015,16,2.8,2.56
14,P20_E20_S300_PosIL_H60,20,20,300,IL,5.12574,0.61362,16,2.8,1.83
15,P22.5_E20_S200_PosCL_H60,20,22.5,200,CL,3.77292,2.09482,16,2.8,1.35
16,P22.5_E20_S200_PosEL_H60,20,22.5,200,EL,8.59515,1.44114,16,2.8,3.07
17,P22.5_E20_S200_PosIL_H60,20,22.5,200,IL,6.26104,0.65972,16,2.8,2.24
18,P22.5_E20_S225_PosCL_H60,20,22.5,225,CL,3.74752,2.02131,16,2.8,1.34
19,P22.5_E20_S225_PosEL_H60,20,22.5,225,EL,8.33773,1.42543,16,2.8,2.98
20,P22.5_E20_S225_PosIL_H60,20,22.5,225,IL,6.06898,0.655796,16,2.8,2.17
21,P22.5_E20_S250_PosCL_H60,20,22.5,250,CL,3.72536,1.95705,16,2.8,1.33
22,P22.5_E20_S250_PosEL_H60,20,22.5,250,EL,8.10555,1.41093,16,2.8,2.89
23,P22.5_E20_S250_PosIL_H60,20,22.5,250,IL,5.8966,0.652192,16,2.8,2.11
24,P22.5_E20_S275_PosCL_H60,20,22.5,275,CL,3.70572,1.90022,16,2.8,1.32
25,P22.5_E20_S275_PosEL_H60,20,22.5,275,EL,7.89478,1.39746,16,2.8,2.82
26,P22.5_E20_S275_PosIL_H60,20,22.5,275,IL,5.74084,0.648861,16,2.8,2.05
27,P22.5_E20_S300_PosCL_H60,20,22.5,300,CL,3.68807,1.84948,16,2.8,1.32
28,P22.5_E20_S300_PosEL_H60,20,22.5,300,EL,7.70237,1.38491,16,2.8,2.75
29,P22.5_E20_S300_PosIL_H60,20,22.5,300,IL,5.59927,0.645763,16,2.8,2.00
30,P25_E20_S200_PosCL_H60,20,25,200,CL,4.00485,2.30515,16,2.8,1.43
31,P25_E20_S200_PosEL_H60,20,25,200,EL,9.10953,1.51554,16,2.8,3.25
32,P25_E20_S200_PosIL_H60,20,25,200,IL,6.77751,0.695478,16,2.8,2.42
33,P25_E20_S225_PosCL_H60,20,25,225,CL,3.97114,2.22601,16,2.8,1.42
34,P25_E20_S225_PosEL_H60,20,25,225,EL,8.829,1.49768,16,2.8,3.15
35,P25_E20_S225_PosIL_H60,20,25,225,IL,6.56458,0.690841,16,2.8,2.34
36,P25_E20_S250_PosCL_H60,20,25,250,CL,3.94157,2.15684,16,2.8,1.41
37,P25_E20_S250_PosEL_H60,20,25,250,EL,8.57608,1.48121,16,2.8,3.06
38,P25_E20_S250_PosIL_H60,20,25,250,IL,6.37345,0.686587,16,2.8,2.28
39,P25_E20_S275_PosCL_H60,20,25,275,CL,3.91526,2.09568,16,2.8,1.40
40,P25_E20_S275_PosEL_H60,20,25,275,EL,8.34659,1.46593,16,2.8,2.98
41,P25_E20_S275_PosIL_H60,20,25,275,IL,6.20074,0.682658,16,2.8,2.21
42,P25_E20_S300_PosCL_H60,20,25,300,CL,3.89326,2.04108,16,2.8,1.39
43,P25_E20_S300_PosEL_H60,20,25,300,EL,8.13716,1.4517,16,2.8,2.91
