Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
60.00,20.00,20.00,200.00,CL,1.25
60.00,20.00,20.00,200.00,EL,2.84
60.00,20.00,20.00,200.00,IL,2.04
60.00,20.00,20.00,225.00,CL,1.24
60.00,20.00,20.00,225.00,EL,2.76
60.00,20.00,20.00,225.00,IL,1.98
60.00,20.00,20.00,250.00,CL,1.24
60.00,20.00,20.00,250.00,EL,2.69
60.00,20.00,20.00,250.00,IL,1.92
60.00,20.00,20.00,275.00,CL,1.23
60.00,20.00,20.00,275.00,EL,2.62
60.00,20.00,20.00,275.00,IL,1.88
60.00,20.00,20.00,300.00,CL,1.23
60.00,20.00,20.00,300.00,EL,2.56
60.00,20.00,20.00,300.00,IL,1.83
60.00,20.00,22.50,200.00,CL,1.35
60.00,20.00,22.50,200.00,EL,3.07
60.00,20.00,22.50,200.00,IL,2.24
60.00,20.00,22.50,225.00,CL,1.34
60.00,20.00,22.50,225.00,EL,2.98
60.00,20.00,22.50,225.00,IL,2.17
60.00,20.00,22.50,250.00,CL,1.33
60.00,20.00,22.50,250.00,EL,2.89
60.00,20.00,22.50,250.00,IL,2.11
60.00,20.00,22.50,275.00,CL,1.32
60.00,20.00,22.50,275.00,EL,2.82
60.00,20.00,22.50,275.00,IL,2.05
60.00,20.00,22.50,300.00,CL,1.32
60.00,20.00,22.50,300.00,EL,2.75
60.00,20.00,22.50,300.00,IL,2
60.00,20.00,25.00,200.00,CL,1.43
60.00,20.00,25.00,200.00,EL,3.25
60.00,20.00,25.00,200.00,IL,2.42
60.00,20.00,25.00,225.00,CL,1.42
60.00,20.00,25.00,225.00,EL,3.15
60.00,20.00,25.00,225.00,IL,2.34
60.00,20.00,25.00,250.00,CL,1.41
60.00,20.00,25.00,250.00,EL,3.06
60.00,20.00,25.00,250.00,IL,2.28
60.00,20.00,25.00,275.00,CL,1.4
60.00,20.00,25.00,275.00,EL,2.98
60.00,20.00,25.00,275.00,IL,2.21
60.00,20.00,25.00,300.00,CL,1.39
60.00,20.00,25.00,300.00,EL,2.91
60.00,20.00,25.00,300.00,IL,2.16
60.00,20.00,27.50,200.00,CL,1.53
60.00,20.00,27.50,200.00,EL,3.42
60.00,20.00,27.50,200.00,IL,2.58
60.00,20.00,27.50,225.00,CL,1.51
60.00,20.00,27.50,225.00,EL,3.32
60.00,20.00,27.50,225.00,IL,2.5
60.00,20.00,27.50,250.00,CL,1.5
60.00,20.00,27.50,250.00,EL,3.22
60.00,20.00,27.50,250.00,IL,2.42
60.00,20.00,27.50,275.00,CL,1.49
60.00,20.00,27.50,275.00,EL,3.13
60.00,20.00,27.50,275.00,IL,2.36
60.00,20.00,27.50,300.00,CL,1.48
60.00,20.00,27.50,300.00,EL,3.05
60.00,20.00,27.50,300.00,IL,2.3
60.00,20.00,30.00,200.00,CL,1.62
60.00,20.00,30.00,200.00,EL,3.58
60.00,20.00,30.00,200.00,IL,2.76
60.00,20.00,30.00,225.00,CL,1.61
60.00,20.00,30.00,225.00,EL,3.47
60.00,20.00,30.00,225.00,IL,2.67
60.00,20.00,30.00,250.00,CL,1.59
60.00,20.00,30.00,250.00,EL,3.36
60.00,20.00,30.00,250.00,IL,2.59
60.00,20.00,30.00,275.00,CL,1.58
60.00,20.00,30.00,275.00,EL,3.27
60.00,20.00,30.00,275.00,IL,2.52
60.00,20.00,30.00,300.00,CL,1.57
60.00,20.00,30.00,300.00,EL,3.18
60.00,20.00,30.00,300.00,IL,2.45
60.00,25.00,20.00,200.00,CL,1.02
60.00,25.00,20.00,200.00,EL,2.4
60.00,25.00,20.00,200.00,IL,1.72
60.00,25.00,20.00,225.00,CL,1.01
60.00,25.00,20.00,225.00,EL,2.33
60.00,25.00,20.00,225.00,IL,1.68
60.00,25.00,20.00,250.00,CL,1
60.00,25.00,20.00,250.00,EL,2.27
60.00,25.00,20.00,250.00,IL,1.63
60.00,25.00,20.00,275.00,CL,1
60.00,25.00,20.00,275.00,EL,2.22
60.00,25.00,20.00,275.00,IL,1.59
60.00,25.00,20.00,300.00,CL,0.99
60.00,25.00,20.00,300.00,EL,2.17
60.00,25.00,20.00,300.00,IL,1.56
60.00,25.00,22.50,200.00,CL,1.09
60.00,25.00,22.50,200.00,EL,2.59
60.00,25.00,22.50,200.00,IL,1.89
60.00,25.00,22.50,225.00,CL,1.08
60.00,25.00,22.50,225.00,EL,2.52
60.00,25.00,22.50,225.00,IL,1.84
60.00,25.00,22.50,250.00,CL,1.08
60.00,25.00,22.50,250.00,EL,2.46
60.00,25.00,22.50,250.00,IL,1.79
60.00,25.00,22.50,275.00,CL,1.07
60.00,25.00,22.50,275.00,EL,2.4
60.00,25.00,22.50,275.00,IL,1.74
60.00,25.00,22.50,300.00,CL,1.07
60.00,25.00,22.50,300.00,EL,2.34
60.00,25.00,22.50,300.00,IL,1.7
60.00,25.00,25.00,200.00,CL,1.16
60.00,25.00,25.00,200.00,EL,2.75
60.00,25.00,25.00,200.00,IL,2.05
60.00,25.00,25.00,225.00,CL,1.15
60.00,25.00,25.00,225.00,EL,2.67
60.00,25.00,25.00,225.00,IL,1.99
60.00,25.00,25.00,250.00,CL,1.14
60.00,25.00,25.00,250.00,EL,2.6
60.00,25.00,25.00,250.00,IL,1.94
60.00,25.00,25.00,275.00,CL,1.14
60.00,25.00,25.00,275.00,EL,2.54
60.00,25.00,25.00,275.00,IL,1.89
60.00,25.00,25.00,300.00,CL,1.13
60.00,25.00,25.00,300.00,EL,2.48
60.00,25.00,25.00,300.00,IL,1.84
60.00,25.00,27.50,200.00,CL,1.24
60.00,25.00,27.50,200.00,EL,2.9
60.00,25.00,27.50,200.00,IL,2.19
60.00,25.00,27.50,225.00,CL,1.23
60.00,25.00,27.50,225.00,EL,2.82
60.00,25.00,27.50,225.00,IL,2.12
60.00,25.00,27.50,250.00,CL,1.22
60.00,25.00,27.50,250.00,EL,2.74
60.00,25.00,27.50,250.00,IL,2.07
60.00,25.00,27.50,275.00,CL,1.21
60.00,25.00,27.50,275.00,EL,2.67
60.00,25.00,27.50,275.00,IL,2.01
60.00,25.00,27.50,300.00,CL,1.21
60.00,25.00,27.50,300.00,EL,2.61
60.00,25.00,27.50,300.00,IL,1.96
60.00,25.00,30.00,200.00,CL,1.32
60.00,25.00,30.00,200.00,EL,3.04
60.00,25.00,30.00,200.00,IL,2.35
60.00,25.00,30.00,225.00,CL,1.31
60.00,25.00,30.00,225.00,EL,2.95
60.00,25.00,30.00,225.00,IL,2.28
60.00,25.00,30.00,250.00,CL,1.3
60.00,25.00,30.00,250.00,EL,2.87
60.00,25.00,30.00,250.00,IL,2.21
60.00,25.00,30.00,275.00,CL,1.29
60.00,25.00,30.00,275.00,EL,2.79
60.00,25.00,30.00,275.00,IL,2.15
60.00,25.00,30.00,300.00,CL,1.28
60.00,25.00,30.00,300.00,EL,2.72
60.00,25.00,30.00,300.00,IL,2.1
60.00,30.00,20.00,200.00,CL,0.86
60.00,30.00,20.00,200.00,EL,2.08
60.00,30.00,20.00,200.00,IL,1.5
60.00,30.00,20.00,225.00,CL,0.85
60.00,30.00,20.00,225.00,EL,2.03
60.00,30.00,20.00,225.00,IL,1.46
60.00,30.00,20.00,250.00,CL,0.84
60.00,30.00,20.00,250.00,EL,1.98
60.00,30.00,20.00,250.00,IL,1.42
60.00,30.00,20.00,275.00,CL,0.84
60.00,30.00,20.00,275.00,EL,1.94
60.00,30.00,20.00,275.00,IL,1.39
60.00,30.00,20.00,300.00,CL,0.84
60.00,30.00,20.00,300.00,EL,1.9
60.00,30.00,20.00,300.00,IL,1.36
60.00,30.00,22.50,200.00,CL,0.92
60.00,30.00,22.50,200.00,EL,2.25
60.00,30.00,22.50,200.00,IL,1.64
60.00,30.00,22.50,225.00,CL,0.91
60.00,30.00,22.50,225.00,EL,2.19
60.00,30.00,22.50,225.00,IL,1.6
60.00,30.00,22.50,250.00,CL,0.91
60.00,30.00,22.50,250.00,EL,2.14
60.00,30.00,22.50,250.00,IL,1.56
60.00,30.00,22.50,275.00,CL,0.9
60.00,30.00,22.50,275.00,EL,2.09
60.00,30.00,22.50,275.00,IL,1.52
60.00,30.00,22.50,300.00,CL,0.9
60.00,30.00,22.50,300.00,EL,2.05
60.00,30.00,22.50,300.00,IL,1.49
60.00,30.00,25.00,200.00,CL,0.98
60.00,30.00,25.00,200.00,EL,2.39
60.00,30.00,25.00,200.00,IL,1.78
60.00,30.00,25.00,225.00,CL,0.97
60.00,30.00,25.00,225.00,EL,2.33
60.00,30.00,25.00,225.00,IL,1.74
60.00,30.00,25.00,250.00,CL,0.97
60.00,30.00,25.00,250.00,EL,2.27
60.00,30.00,25.00,250.00,IL,1.69
60.00,30.00,25.00,275.00,CL,0.96
60.00,30.00,25.00,275.00,EL,2.22
60.00,30.00,25.00,275.00,IL,1.65
60.00,30.00,25.00,300.00,CL,0.95
60.00,30.00,25.00,300.00,EL,2.17
60.00,30.00,25.00,300.00,IL,1.61
60.00,30.00,27.50,200.00,CL,1.05
60.00,30.00,27.50,200.00,EL,2.52
60.00,30.00,27.50,200.00,IL,1.91
60.00,30.00,27.50,225.00,CL,1.04
60.00,30.00,27.50,225.00,EL,2.45
60.00,30.00,27.50,225.00,IL,1.85
60.00,30.00,27.50,250.00,CL,1.03
60.00,30.00,27.50,250.00,EL,2.39
60.00,30.00,27.50,250.00,IL,1.81
